Age,BodyFat,Height,Weight,Chest,Abdomen,Hip,Thigh,Biceps,Ankle,Knee,Neck,Wrist,Class
22.0,23.07,161.3,49.4,76.1,62.8,90.2,49.2,25.0,19.7,33.0,28.8,15.0,0
22.0,29.5,157.5,60.8,87.3,68.0,94.0,50.0,26.8,22.0,34.6,31.2,15.8,1
21.0,26.99,161.8,63.1,83.7,71.0,94.0,51.0,27.8,20.1,35.0,30.8,14.4,1
20.0,20.25,168.1,53.1,78.0,63.5,90.5,48.0,23.8,20.0,35.0,30.0,14.5,0
20.0,19.95,173.2,59.4,84.2,65.0,93.2,50.0,24.2,21.0,33.0,32.5,14.8,0
24.0,26.02,161.3,68.0,97.0,76.8,105.0,54.5,29.8,22.5,39.0,34.0,17.4,1
21.0,27.57,178.3,76.2,100.0,81.0,101.0,56.0,28.0,22.8,39.0,34.0,17.0,1
21.0,18.36,171.4,56.2,81.0,65.0,90.0,49.0,23.0,21.5,33.5,32.5,15.0,0
20.0,15.04,166.9,54.9,82.5,67.2,89.2,49.5,24.0,21.0,35.5,30.3,15.4,0
19.0,26.46,168.9,73.0,94.5,80.0,106.0,61.0,28.5,21.0,39.5,34.0,16.5,1
20.0,22.33,174.0,71.7,92.0,74.0,103.0,58.5,28.5,22.5,37.5,34.0,17.0,0
24.0,20.75,179.1,67.6,90.8,70.0,100.4,45.2,26.5,21.0,37.5,33.0,15.5,0
18.0,14.93,160.0,54.0,86.0,66.4,92.3,48.5,24.5,20.0,35.0,30.5,15.6,0
19.0,17.57,163.8,51.7,81.2,64.5,89.1,50.6,23.5,21.0,34.5,30.5,14.5,0
21.0,20.3,160.0,52.6,84.5,66.0,94.0,47.0,26.5,21.0,32.6,30.6,14.5,0
19.0,19.4,162.6,61.7,89.5,72.0,95.5,52.5,28.0,22.0,37.0,33.0,16.5,0
21.0,22.78,168.7,64.0,98.5,73.0,97.5,49.0,28.3,20.0,34.5,33.0,15.5,0
19.0,24.3,165.1,62.6,86.0,71.0,101.5,52.5,27.0,22.0,39.5,31.5,15.5,1
21.0,13.91,172.7,59.0,88.5,68.5,97.0,49.0,24.0,20.0,33.5,31.5,14.5,0
20.0,13.75,157.5,50.3,83.0,67.2,87.0,47.3,27.0,20.3,33.0,31.3,16.0,0
21.0,21.54,162.6,62.1,88.3,77.0,100.5,53.5,26.0,21.5,34.4,33.0,15.3,0
18.0,18.24,161.3,48.5,82.5,63.2,89.2,44.0,24.3,21.5,34.3,29.5,14.8,0
18.0,24.43,172.7,70.3,90.1,73.0,103.0,58.1,29.5,22.0,39.1,33.0,16.5,1
